id,licenseplatenumber,color,yearofproduction,price,modelid
30472,floreri,ivory,2014,98317,885
30473,nqokgix,lavender,2006,56316,119
30474,nhbmwee,silver,1994,3534,146
30475,eparpoa,teal,2012,49709,323
30476,swtnrss,olive,1991,77290,900
30477,fakeeph,lavender,1994,9793,522
30478,ljwfqqn,grey,1995,74622,209
30479,tcalfka,orchid,2006,86974,580
30480,ldnajlm,lime,2005,34694,339
30481,apfrivi,gold,2016,36031,26
30482,nmdyoeh,lavender,2002,31035,837
30483,fyordtc,lavender,1995,17869,431
30484,slahaef,orchid,2016,45117,951
30485,isxjwlq,"sky blue",1999,98446,514
30486,jmeeuxt,purple,2010,93998,143
30487,cronnap,orange,1994,28757,332
30488,dvyiayx,violet,1993,93125,138
30489,hfmpmvv,cyan,2017,83632,676
30490,jkckisp,yellow,1996,55523,951
30491,azavocw,purple,1998,22494,805
30492,kfimyka,lavender,2000,66854,654
30493,tkokiqb,maroon,1995,4249,530
30494,lxnspjg,violet,2008,45578,754
30495,moaeext,azure,2010,30785,46
30496,fmqsxdu,green,2004,76313,771
30497,sikjnfd,violet,2000,42328,785
30498,mmfzvzb,orchid,2008,48089,499
30499,pcnqvkb,fuchsia,2002,2082,101
30500,sjyjbof,cyan,1995,46116,882
30501,zrazhgl,olive,1992,14774,718
30502,khlekfx,gold,1993,97898,208
30503,vbvrdim,pink,2014,49746,37
30504,wzfdchn,blue,1998,26429,208
30505,wlqgigx,orange,2000,6301,184
30506,dtnyhnw,yellow,1992,69578,596
30507,uwgewfw,fuchsia,1992,88586,805
30508,izddvlf,"mint green",2009,80127,84
30509,lcjehsm,purple,2008,63609,363
30510,jxxeeqq,blue,2008,21371,17
30511,mdvevfi,tan,2006,50932,934
30512,jvgsinx,gold,2012,80181,534
30513,zqdgslc,fuchsia,2000,95635,528
30514,uatqfnn,pink,1997,36125,104
30515,etyaovg,"sky blue",2007,79933,689
30516,rimnhzn,blue,2015,73745,217
30517,evsazsd,olive,1994,86295,38
30518,nyvtwjb,"mint green",2011,91121,279
30519,neppddq,white,1991,13253,928
30520,dhmjesc,salmon,1992,7699,767
30521,mkmoolv,turquoise,2003,91935,397
30522,sauohvz,red,1990,7795,828
30523,zxzltdy,turquoise,2015,88047,335
30524,byukljk,lavender,2004,56270,759
30525,vmxcsrw,grey,1994,76067,813
30526,jtqhbvb,indigo,2015,89314,870
30527,aytzegs,black,2003,64178,379
30528,mssmzdr,red,1998,32738,697
30529,hbfchpt,black,1995,31567,619
30530,blppoyt,olive,2011,45220,962
30531,lnbgygv,"sky blue",2010,18258,92
30532,seuewlp,purple,2005,86611,113
30533,ledvryq,azure,2010,80726,488
30534,iixvcvi,plum,2008,59922,831
30535,ygyvjnv,orchid,2008,9224,477
30536,nricmjf,orange,1992,62584,237
30537,jewffzf,turquoise,2010,42253,311
30538,osjoxke,salmon,2003,10820,37
30539,tolzhhu,pink,2004,63303,909
30540,vkldsbr,gold,2008,17244,41
30541,novjria,lavender,2005,8565,281
30542,tmhpnel,maroon,2002,10717,737
30543,asycfet,lavender,2001,42596,334
30544,mnbtedx,azure,1991,91896,607
30545,souycaf,magenta,2017,66972,718
30546,tdxuhqn,purple,2003,7708,211
30547,cluxrfe,"sky blue",1994,80055,769
30548,tddqkyh,indigo,2003,56468,764
30549,unwybsr,grey,1990,6536,871
30550,vbwqqnu,ivory,2016,87015,786
30551,lmcfjaj,lavender,2005,26235,782
30552,wlpvqud,white,1998,8943,827
30553,jydslku,cyan,1993,50239,349
30554,tnosoyf,orange,1999,83554,224
30555,nrncktu,"mint green",1998,15280,454
30556,tkuvzuc,orange,2007,81581,370
30557,hgwhpjd,tan,1992,95250,953
30558,ocvmshg,azure,1994,80206,916
30559,cfwzcjh,orange,2015,48631,499
30560,cuddbkq,"sky blue",2011,45461,151
30561,iszvwoc,orange,2009,29518,414
30562,ytnjjhr,cyan,2002,90665,121
30563,qdtbbuz,indigo,2014,73440,164
30564,qixsope,azure,2010,28009,470
30565,xmzlodz,"sky blue",2012,85085,885
30566,kqketft,salmon,2016,62936,116
30567,gvzbzwu,salmon,1995,32884,241
30568,vhimmle,magenta,2007,69487,977
30569,itlanxm,purple,2003,89530,386
30570,darswwa,salmon,2003,90452,761
30571,eexoqrz,yellow,1993,2952,681
30572,jxaqjou,"mint green",2006,38016,249
30573,twoxmrj,green,2008,44520,205
30574,sieihks,orchid,2015,55721,960
30575,rzpgxdc,fuchsia,2013,5319,613
30576,ltpfoog,"mint green",2004,24574,874
30577,xlcxver,"sky blue",2006,11962,423
30578,mxjmcyt,ivory,2005,21294,441
30579,vzkskjy,cyan,2013,54442,324
30580,zklozda,maroon,2007,39036,968
30581,whtoyvu,magenta,2010,37497,999
30582,xebllxj,purple,2014,99899,601
30583,zdxhxvg,lime,2009,16292,267
30584,fnyokhz,salmon,1992,59096,133
30585,zxnrdmc,red,2013,22410,974
30586,ebwohvd,pink,2005,6592,995
30587,ebxzpxd,ivory,1998,42856,493
30588,ndxvqnt,cyan,2014,18540,26
30589,zyebryl,violet,2001,57375,434
30590,esqlykp,blue,2013,66673,109
30591,rojfyeu,silver,2001,5272,191
30592,dqurnwi,indigo,2015,93304,497
30593,jjlmaau,fuchsia,2010,10584,767
30594,rebnjgf,turquoise,1993,40157,464
30595,abrgmqz,fuchsia,2009,17398,506
30596,zzfpnom,blue,2001,45019,86
30597,rywdmbl,lime,2009,43845,879
30598,obzdpni,green,1999,99470,896
30599,phwedrh,"sky blue",1999,76026,884
30600,wrhjbef,violet,2008,52873,827
30601,vkryyuq,orange,1992,16170,111
30602,aieejpg,tan,2017,33187,997
30603,olrujjp,lavender,2002,61814,3
30604,hkugula,green,2008,43539,164
30605,zicnxdm,green,1998,62947,108
30606,unjxttl,purple,1992,8191,626
30607,zbikjeb,blue,1999,95607,10
30608,lxciuit,fuchsia,2016,36084,491
30609,xklydor,lavender,2007,88908,244
30610,sinepnn,"sky blue",2011,61576,969
30611,wvoijvi,silver,1996,11406,698
30612,yznhepi,indigo,1995,21459,454
30613,qjheqqv,blue,1995,79799,438
30614,cuxgrde,fuchsia,1991,3014,687
30615,wywmjkv,green,2004,3039,777
30616,rvekjni,green,1992,17055,300
30617,cosqula,silver,1990,30332,561
30618,mytelqq,salmon,1991,89509,545
30619,lszydtn,red,2003,61606,439
30620,cklobnt,pink,2004,40578,164
30621,tajxmcs,lavender,1994,54405,265
30622,ebcyyic,gold,1999,34491,425
30623,fbvfmzm,pink,2001,5285,874
30624,gmkatsr,white,2014,10737,159
30625,ifwqnrf,tan,1996,68408,759
30626,ccbzofv,yellow,2013,96565,597
30627,tmppimg,red,2003,42342,845
30628,ribtcdc,turquoise,2008,12413,798
30629,tcnynqw,fuchsia,2000,16797,976
30630,jnmexyo,orchid,1992,10193,170
30631,hoyotyj,"mint green",2002,67934,677
30632,nlaxtqh,lavender,2005,68219,836
30633,eigbsoi,blue,1996,9799,691
30634,vnkqeit,silver,2005,98390,600
30635,zdnjwtr,magenta,2010,87031,149
30636,svifsgy,maroon,2002,83884,170
30637,nlvrzsq,gold,2006,44502,273
30638,chkmzvj,salmon,1992,65506,421
30639,lgtztpk,cyan,2006,27906,17
30640,qnpmbih,turquoise,2010,3141,811
30641,mrfheha,salmon,2003,60070,16
30642,nkkaqgf,"mint green",2016,53731,929
30643,eydfenh,purple,1990,52199,10
30644,ykfdkwt,lavender,2000,76025,343
30645,uhelpwb,indigo,1994,60010,922
30646,ahqvhgl,tan,2002,47731,488
30647,gofadpq,olive,2012,92146,834
30648,gpjlxdx,green,1998,26561,173
30649,xzkjajr,fuchsia,1994,54531,872
30650,hizmwqo,lime,2017,23473,820
30651,hijlavp,lavender,2013,32763,978
30652,arjmyyr,azure,1997,14929,291
30653,pxjcmvf,red,1991,79660,913
30654,aydnrin,gold,2011,24808,92
30655,wzmakgl,plum,2013,67537,292
30656,mehouij,tan,1993,18502,412
30657,xkknttz,red,1991,76834,241
30658,tcwipvr,turquoise,1995,33849,144
30659,oqclpga,gold,2010,40860,800
30660,dnschnp,purple,2004,45978,43
30661,xelsxob,black,2002,38964,956
30662,xwllpgr,green,2015,52406,88
30663,lhpgvpy,teal,2010,32401,190
30664,xpdmdyy,cyan,1991,37608,843
30665,lpuabnh,olive,2004,81761,254
30666,qhigcxj,ivory,2017,25108,856
30667,fzvofjj,orange,2016,28081,831
30668,gccllcb,violet,2008,72912,468
30669,llskkgt,violet,2014,13636,688
30670,kulvapk,orchid,1994,58115,645
30671,yvwvzcx,maroon,1992,77923,35
30672,hhvdhpo,magenta,2002,46607,542
30673,figdqrs,yellow,2013,53318,158
30674,whybwpa,violet,2005,65966,688
30675,jshqdnl,lavender,2001,81757,622
30676,qjeijrp,green,1992,18917,522
30677,wmubprw,maroon,2001,68391,30
30678,gdfqgmm,azure,1997,97521,974
30679,xvaynoz,orange,2013,76200,424
30680,nfmttbp,pink,2013,39417,728
30681,iiuflsj,red,1998,92090,174
30682,gtdcfrs,plum,1993,11448,327
30683,asjrrrx,orchid,2016,7370,284
30684,cmozrnc,olive,1997,84276,481
30685,lzeqtbr,ivory,2017,95117,933
30686,scmgdyo,azure,2004,38984,265
30687,gqjoara,green,1993,60601,75
30688,tvmhona,purple,2002,17995,614
30689,kbvyauj,"mint green",2005,98758,66
30690,uvsqgec,pink,2000,94566,565
30691,augsciq,gold,2005,46380,432
30692,mscyayh,maroon,1996,88664,680
30693,dtammjt,indigo,2000,64255,799
30694,vefomga,purple,1997,59822,125
30695,sdoctyx,turquoise,1994,64243,44
30696,ctxmrty,silver,1997,53700,350
30697,gkjxxff,"sky blue",2007,18910,647
30698,goyupvt,olive,1992,16290,995
30699,mptjmzr,blue,2007,70130,452
30700,gdfomxv,grey,2001,5217,116
30701,hxiowfw,purple,2016,91808,721
30702,ceniohf,white,1994,73136,170
30703,yxprbla,teal,2000,24210,828
30704,lsexlje,orange,2013,14641,769
30705,yogalgn,olive,1990,70328,750
30706,bzqpxzi,teal,2002,93828,12
30707,tifloht,yellow,1994,69785,639
30708,nqkkyyl,pink,1991,88271,847
30709,sgfdslm,magenta,2005,51790,837
30710,sqetiip,silver,2000,15504,980
30711,fidqnrg,green,1995,10715,844
30712,rzbqbkw,ivory,1994,47779,630
30713,rybklcd,azure,1992,84338,200
30714,hjjavou,yellow,2013,34104,674
30715,wpxgojx,orange,1992,67430,780
30716,vbitpag,blue,2011,63504,373
30717,rrgylmm,violet,2000,13260,11
30718,wbfvxab,yellow,1992,40776,733
30719,ufciqgf,pink,2012,96250,420
30720,kpubudl,yellow,2005,70545,413
30721,pktmkks,yellow,2008,95612,460
30722,ytouulg,gold,2007,51041,637
30723,xecdlgg,gold,1994,66934,638
30724,kdwjadq,magenta,2003,51765,757
30725,hdcmahu,yellow,2002,49363,457
30726,jhqbier,silver,2004,11373,291
30727,capmfpc,teal,1993,77303,262
30728,nxctltx,purple,2017,16596,510
30729,vzbtfgo,"mint green",2014,22858,359
30730,xesuemp,gold,2012,49456,967
30731,twbjnvn,white,2017,9506,852
30732,jyjsbgn,"sky blue",2003,33762,769
30733,hfdkrzy,purple,2008,77065,917
30734,arebggm,turquoise,1994,5126,38
30735,lumtnwo,gold,2011,87625,765
30736,wivsdjt,teal,1991,95656,455
30737,lpolbyn,teal,2015,6930,834
30738,coszamg,plum,2006,51436,597
30739,wzpfjnt,turquoise,2015,63274,2
30740,ntcvxaq,grey,1992,72025,874
30741,zekjdub,tan,2008,67842,604
30742,wkvwaoy,fuchsia,1995,41679,755
30743,dwyjzuw,lavender,2012,45085,745
30744,qfjoyqk,white,1995,45332,150
30745,yvbpkly,black,1994,74308,147
30746,cpnccnk,maroon,2003,23236,496
30747,lrrpxfb,orange,2012,38208,962
30748,lcumsmp,"sky blue",2009,57037,207
30749,blvggqb,maroon,1992,58648,108
30750,srkqrpo,tan,2016,20206,847
30751,fzfgkha,red,1992,31093,496
30752,enrcald,tan,2005,71532,224
30753,wrefbpk,lavender,1996,99228,446
30754,howgnck,azure,1993,58738,8
30755,xbecasc,ivory,1997,36645,214
30756,cafbtya,grey,1993,90098,374
30757,qxjbzgs,purple,2004,36721,804
30758,lgnyohy,lime,1991,31839,12
30759,nnahlij,turquoise,2004,69600,867
30760,fvntsbk,tan,2011,34228,440
30761,zmjeowy,maroon,1994,91697,888
30762,sxykzvr,pink,1995,2854,574
30763,lmjsyfv,grey,2007,50718,689
30764,bndvaxo,magenta,2006,44129,857
30765,bvfyfmx,red,2016,33197,558
30766,tpxsnix,plum,1992,83572,129
30767,dtvczrv,red,2008,38199,329
30768,twngvly,"sky blue",2008,58227,307
30769,uqdeutf,purple,1999,5605,263
30770,necvkbw,fuchsia,2008,76390,801
30771,fdxwobf,green,1999,3372,865
30772,dqxppjm,lime,2014,69255,887
30773,tqsczou,fuchsia,1995,76473,921
30774,yvgjufo,gold,2007,4665,953
30775,ihtxttz,maroon,2011,80110,523
30776,nhmfkiv,lavender,2013,44198,154
30777,vgagixa,fuchsia,2016,68999,679
30778,xugudzg,ivory,1993,44908,912
30779,xvbwsnt,grey,1997,59865,966
30780,nxvgbfl,lime,2005,97575,289
30781,hwwlanx,pink,1995,36945,294
30782,zqurods,maroon,2016,14217,997
30783,zgsheip,silver,1992,94230,808
30784,rtimtas,grey,2016,84409,542
30785,ebcwnrq,green,1995,19005,404
30786,wuyamao,yellow,2004,32349,47
30787,arulfyg,gold,2009,4489,40
30788,jpdisqq,black,2014,63864,991
30789,elfnveh,purple,2006,2051,260
30790,lccvjjt,lime,2010,66589,963
30791,doxfnjk,orchid,2012,16263,111
30792,wlnqczc,purple,1997,93656,89
30793,aeqfmiw,red,1995,5293,88
30794,xpngzwl,olive,2010,68687,869
30795,mixfftl,lavender,1996,77990,375
30796,huqfktg,turquoise,2001,89663,508
30797,xgivour,violet,2006,24902,698
30798,faoppma,lavender,1997,51133,212
30799,hbmctqk,ivory,2003,87953,101
30800,ruwvwsg,salmon,2012,81307,621
30801,rxvyyfo,indigo,2012,33802,697
30802,pzknzgi,pink,1994,49558,768
30803,rxjfrfp,blue,2008,95094,651
30804,kzziiwh,purple,2004,65991,930
30805,rcjoyzu,green,2000,10657,615
30806,olagtrp,teal,2012,98059,920
30807,qigvfww,lime,2014,86050,349
30808,lpbdcoo,"mint green",2006,24219,503
30809,ilkedwg,salmon,2014,84141,64
30810,lgwewqy,orchid,2007,98153,740
30811,etfqzhh,blue,1994,6748,993
30812,gczxgyz,salmon,2016,15239,829
30813,heyxdig,fuchsia,1998,91876,573
30814,bstqwfd,pink,1993,95406,579
30815,ehlrsfw,"mint green",2006,61119,159
30816,ajqtdor,purple,2009,37670,946
30817,buezocp,cyan,2009,73597,394
30818,zdtyrdw,gold,2010,98781,730
30819,elyvaew,purple,2016,38816,27
30820,rclczlx,white,2004,20745,203
30821,kgsxuly,orange,2000,53770,548
30822,irnezji,grey,2008,87877,302
30823,yuupnyz,orange,2003,5715,753
30824,rnagicj,salmon,2007,51989,249
30825,xfyuhdt,purple,1991,76912,415
30826,ugfwezp,white,2015,43118,365
30827,obpmsli,lavender,2001,46890,649
30828,otsgrav,ivory,2014,99393,109
30829,uyajqha,blue,2017,81779,786
30830,dizsrwl,green,1997,5120,531
30831,qcdazrt,red,2003,29391,851
30832,gwzniof,magenta,2011,2587,919
30833,qqaxnuc,indigo,2010,78974,758
30834,uxxfqrs,orchid,2017,99083,213
30835,qrtuklr,fuchsia,2012,56000,264
30836,empihmh,plum,1998,81098,264
30837,ddjkqlb,white,2008,20274,307
30838,dutfbne,orchid,1997,17053,971
30839,bvfdvrt,orchid,1996,33447,346
30840,ulniung,grey,2015,17483,241
30841,fsvfnel,olive,2002,91915,929
30842,alkacpw,salmon,2003,96508,335
30843,nixdmlc,orange,2000,12061,483
30844,odlxamo,azure,1997,27987,217
30845,wcntaqm,lavender,2009,48445,208
30846,vpivqrk,lime,2000,53026,934
30847,gkwjqyr,fuchsia,1995,9276,947
30848,sndjfcl,orange,2012,57935,899
30849,sdpnqqp,purple,2004,15810,378
30850,sdbktui,orchid,2011,65596,570
30851,jomijay,white,2008,16043,472
30852,xtobvev,black,1996,55350,825
30853,gwrnwni,red,2004,83634,252
30854,sdotllr,turquoise,2011,30360,438
30855,kfjhbvq,"mint green",2009,12078,782
30856,jbxbaes,teal,2001,62762,660
30857,eyziddd,azure,2012,71949,427
30858,vqhedrn,magenta,2012,64749,202
30859,tpdoljc,white,2015,73543,921
30860,amckkfj,lime,2000,17341,136
30861,emjldnr,green,2015,66226,870
30862,rtqrpdq,tan,2002,24966,974
30863,odfuryg,blue,1998,67580,234
30864,hqwqgqf,"sky blue",2005,89856,823
30865,jeyajmo,gold,2007,22727,108
30866,pjtpbfa,turquoise,1996,5585,988
30867,istqxlv,azure,1994,8705,628
30868,oxmnipn,white,2017,13510,859
30869,vfivpqs,yellow,1998,49811,438
30870,jiminlf,fuchsia,1995,68187,887
30871,ppxqtuq,cyan,2014,55593,923
30872,tjyqupd,teal,2016,51036,472
30873,wgbqctr,black,2000,96713,596
30874,rtoolyr,pink,2005,4819,25
30875,birmphi,purple,2000,14258,612
30876,uoggrxg,lavender,1993,83893,996
30877,gcltwdv,orchid,2001,95074,98
30878,vdhcpqx,"sky blue",1996,79816,765
30879,myhfivz,teal,1993,51873,834
30880,djcaxam,tan,2014,77387,103
30881,tgliwhq,orchid,1990,13829,721
30882,pmdigny,maroon,1990,52120,196
30883,qkuzckn,magenta,2015,44836,414
30884,qyojwtt,"sky blue",2016,18384,311
30885,mujozix,azure,2016,5902,336
30886,skqgjbp,indigo,2015,82543,308
30887,oooyxuc,silver,2001,61407,679
30888,kwpzlko,cyan,2007,27471,901
30889,xrfzaof,indigo,1991,79146,61
30890,ktvyjau,silver,1997,41745,133
30891,yvxhozo,lavender,1996,15149,389
30892,izzjzgd,violet,2003,58908,158
30893,agkrrml,violet,1992,25618,981
30894,pqqscba,pink,2014,84258,579
30895,zossrxf,grey,2002,9666,901
30896,hweskwq,indigo,2003,74928,581
30897,mpjtcll,ivory,2013,44969,685
30898,ukrzpce,olive,2014,36447,809
30899,jmnhmfo,gold,2012,55752,46
30900,nealhsk,black,2009,27279,220
30901,jxkzboo,orange,2016,99755,916
30902,trztwqq,magenta,2005,17333,765
30903,imesdlt,pink,2017,42193,378
30904,xqdllpt,pink,2008,24476,93
30905,bjheevq,cyan,2004,69711,743
30906,uqswigt,fuchsia,2013,5463,529
30907,gqpduje,gold,2003,19690,460
30908,zxyskqe,lavender,2000,73708,720
30909,iqsgnvk,red,2006,95518,718
30910,dcidnse,orchid,2011,26319,90
30911,pfokaoo,ivory,2013,81344,839
30912,cbnjzte,turquoise,2011,63235,268
30913,kpinnlw,pink,2008,53924,226
30914,tyfkrdo,silver,1997,31136,643
30915,kiwgtln,"mint green",2013,42554,497
30916,czgzxls,violet,2007,19099,479
30917,iogwvwc,lime,1991,65067,375
30918,aqzxmyg,teal,2017,50349,870
30919,bsjsldx,fuchsia,1991,98645,285
30920,tygwtgf,pink,2014,39474,944
30921,sosmsqg,blue,2004,33816,578
30922,elrkkbu,silver,1994,56605,236
30923,knvarbi,pink,2005,4671,988
30924,thjznai,orange,2011,17156,171
30925,cyqgsgy,"sky blue",1999,83367,282
30926,lexturd,violet,2011,25383,746
30927,noldpia,orange,1990,77239,882
30928,kcflnpv,black,2017,25485,384
30929,zkxfifl,magenta,1990,72006,943
30930,xebjqta,"mint green",2004,85546,421
30931,wefcbcg,"sky blue",2017,24167,181
30932,jymkvts,green,1998,15009,937
30933,tpvjejr,turquoise,2016,61931,526
30934,jgwwqol,teal,2012,15378,357
30935,mjviruc,blue,2009,74191,886
30936,murvtqi,gold,2002,6103,746
30937,hkordue,yellow,1992,10534,349
30938,nkaoyhl,"mint green",2015,99217,749
30939,gbrnhpu,salmon,2015,29665,539
30940,ruyrjln,grey,2008,82554,293
30941,khoizcm,salmon,2011,12421,209
30942,jilcvml,green,2010,77065,818
30943,vqjwuzd,blue,2003,15762,225
30944,uvdpwft,black,1999,14586,495
30945,rlwglqg,pink,2004,3999,672
30946,ydxydud,salmon,1997,94352,92
30947,rssgunt,"sky blue",2012,41409,540
30948,waekksu,orange,1990,23650,176
30949,osyyypg,pink,2004,49162,742
30950,avmoiej,azure,2013,41762,763
30951,dlgmzeo,indigo,2005,67759,74
30952,vgrcbfb,plum,2009,15852,1
30953,zakhvbs,orchid,2000,59067,31
30954,preqfgw,azure,2002,15860,361
30955,zktxolc,fuchsia,2007,34165,34
30956,fozawvu,azure,2015,26652,206
30957,kblamjv,orchid,1996,61385,161
30958,atyichg,red,1996,37237,380
30959,grwpxhx,magenta,2001,21031,10
30960,healxbd,yellow,2009,10425,101
30961,ntxiliw,fuchsia,1993,4436,608
30962,uxbjhan,pink,2017,23873,933
30963,ufjdomi,azure,2003,79037,898
30964,ddragxs,white,2000,31118,292
30965,lbihwpw,lime,2011,47266,763
30966,twizgsk,orchid,2007,62912,158
30967,czgidnp,maroon,2008,53432,531
30968,jesirud,magenta,1993,9084,924
30969,qnmevqc,orchid,1999,99094,218
30970,orhwlef,turquoise,2016,21670,340
30971,rpniezk,azure,2005,46082,467
30972,bribkfd,gold,1999,76870,898
30973,mrfquid,ivory,2016,92956,132
30974,wrpvxug,blue,1996,28372,430
30975,cmwgmgo,lavender,2014,29551,588
30976,jxioalo,red,2008,88914,420
30977,wyxcksr,lavender,1992,20241,829
30978,nrxysxn,maroon,2000,54202,665
30979,bvutjhf,cyan,2007,93302,298
30980,hnpsvfz,cyan,2008,88000,624
30981,ovdspzx,indigo,1996,24798,209
30982,odrtaau,purple,1991,26988,372
30983,qulqntl,orange,1997,83922,420
30984,wspnzhg,indigo,2013,74000,583
30985,khtfxtr,"mint green",1991,36613,444
30986,omocyci,red,1999,90847,355
30987,jqdoplm,red,1999,16764,52
30988,dvisbiq,cyan,2006,46619,181
30989,wbtmzhr,"sky blue",2001,24789,710
30990,utzrdlt,orange,2004,35079,87
30991,sgbrzyd,pink,2006,15291,107
30992,dsiuvdu,"sky blue",1998,36942,324
30993,kacllwk,plum,2002,79981,70
30994,ftmfoul,grey,2009,27922,969
30995,jbjzpia,red,1995,86450,616
30996,kohbxmj,violet,2006,87413,430
30997,rucqvaw,teal,2014,13882,462
30998,bvhwuah,black,2014,65009,804
30999,xknuzij,olive,2000,55785,654
31000,xkfkxsp,blue,2015,95703,276
31001,thnphfz,grey,1994,34734,258
31002,etbuufh,"mint green",1999,87204,900
31003,uzodfzy,orchid,2014,88652,238
31004,sgvqieg,red,2011,79727,354
31005,ehommnk,black,1993,71171,697
31006,kxmwubt,silver,1991,36841,444
31007,yhhswrl,pink,2002,57619,76
31008,ijdsqvw,cyan,2015,80525,473
31009,dpnhyuh,orchid,2017,80680,622
31010,imgwjyl,indigo,2012,72136,788
31011,qfieqrp,pink,2007,6861,614
31012,fwjxheh,lavender,1997,20145,641
31013,gldzdcb,orange,2001,88293,546
31014,dowsqyj,pink,1993,54147,75
31015,smynbse,olive,2011,55031,48
31016,liczlpb,black,2005,24178,721
31017,jsbeewj,olive,2006,63197,385
31018,ruseivo,olive,2016,29625,376
31019,iycicpy,plum,1997,31170,224
31020,kcifoix,yellow,2004,5254,174
31021,urgrdgc,fuchsia,2010,85305,705
31022,amamdcu,gold,2007,25542,997
31023,kochvvq,"mint green",2005,18546,451
31024,ympinwz,indigo,2013,47084,117
31025,jokskzi,pink,1996,92421,952
31026,hcatejn,indigo,2005,63156,13
31027,rbjwqqu,teal,2009,87143,743
31028,ibllwbp,orchid,2001,39141,826
31029,fgnyvop,yellow,1990,92047,397
31030,czmbhux,magenta,2003,12799,234
31031,xlkxplc,grey,1994,53775,340
31032,ewtxcgq,salmon,2010,82463,334
31033,suvlezn,turquoise,2001,15766,251
31034,bgnyrwx,fuchsia,2013,22887,346
31035,qeocedm,grey,1995,49325,761
31036,cdvqpro,lavender,1996,23688,772
31037,otethrg,cyan,2014,45785,880
31038,gwjjopf,tan,2015,59314,937
31039,lkifmam,black,2009,50806,318
31040,splfsct,grey,2001,18786,155
31041,wqcupfv,lavender,2015,64698,25
31042,vcaaqxr,grey,1995,5599,491
31043,fdgrnxr,grey,2004,47731,762
31044,bhdfssp,tan,2011,91985,418
31045,efydkzg,white,2007,84552,146
31046,riadhtu,yellow,2007,70527,186
31047,onlthhx,orchid,2013,12919,230
31048,xafospt,salmon,2007,21594,208
31049,arfjuwx,grey,1999,9820,877
31050,ypgqbkq,olive,2005,51045,765
31051,uhofdpc,salmon,2015,56501,255
31052,urwzvvj,turquoise,2011,76466,523
31053,cjmlsgm,"sky blue",2014,31872,537
31054,kgshxgt,"mint green",2003,85975,971
31055,bflenwt,salmon,1998,45324,383
31056,zgalxiz,turquoise,1998,93367,193
31057,stbuejx,gold,1996,57768,681
31058,uawrvgp,white,2007,10168,970
31059,epfpzsq,lavender,2001,38858,584
31060,qogaaqi,lime,2010,53628,554
31061,jehkept,lavender,2002,87046,152
31062,cudqrfa,"sky blue",1994,22910,831
31063,yandfet,black,2013,12068,726
31064,pcqnolr,salmon,2012,68832,369
31065,jnauyih,silver,2015,77055,641
31066,sqrirah,green,1990,17188,338
31067,lcianlb,teal,2007,46354,157
31068,ywnzooe,plum,2016,55720,203
31069,krhdnev,orchid,1992,34090,504
31070,onicyhw,teal,2005,76703,437
31071,dchdsdf,green,1999,82319,523
31072,jtqvbym,"mint green",2015,7539,821
31073,llwbnpe,plum,1998,17875,453
31074,akqeexx,cyan,1996,3762,731
31075,fcgxqlf,maroon,1998,63915,109
31076,wgkybly,salmon,2005,33184,860
31077,otdbkbp,"mint green",2004,22483,483
31078,xjzopnt,"mint green",2012,12108,861
31079,pwerxae,azure,2011,13176,518
31080,cwrgeai,teal,1999,96201,353
31081,vnwwrji,maroon,1992,86481,121
31082,fvkaqnw,plum,2005,44597,641
31083,vpcuqlh,gold,2016,94068,743
31084,imnghiy,teal,2016,57842,46
31085,ixlfgxj,orchid,1995,41888,256
31086,alngdks,teal,2008,77063,486
31087,bmisvxm,orchid,1995,6811,847
31088,fqkhucs,"mint green",2000,32620,912
31089,pwfblmr,azure,2015,30820,464
31090,zxwbwhf,"sky blue",1997,65384,687
31091,cefwuea,ivory,2011,45189,131
31092,pvkgfmi,green,2005,81848,199
31093,aecugra,orange,2015,72103,100
31094,cakjpfh,salmon,2009,11898,617
31095,gaarrde,teal,2000,47438,31
31096,hozkorp,indigo,1999,82867,494
31097,cuulbgw,violet,2000,69359,612
31098,bjbaexr,lime,2014,6225,62
31099,lskjqzl,black,2014,35795,101
31100,vdwflwt,teal,2017,19725,358
31101,auvvwqv,plum,2008,52714,454
31102,utzlsbx,green,1999,62688,557
31103,fblruie,red,2007,24353,215
31104,kfzulqc,fuchsia,1999,47598,18
31105,knujswe,salmon,1996,35841,42
31106,sdoyjmv,white,2006,90232,983
31107,kqserbv,"mint green",2005,71489,842
31108,gdaqwey,maroon,1991,80201,68
31109,xpfnrcd,orchid,1991,88147,118
31110,zbyzfry,violet,2008,38042,414
31111,xjinhre,tan,2005,29025,108
31112,juupawx,green,1991,74435,207
31113,wqoapls,orange,1991,61432,582
31114,rqemkri,turquoise,2014,44677,27
31115,gtyjlnx,lime,1994,88799,455
31116,tvlaajm,salmon,2007,48088,264
31117,owazzvc,pink,1997,68261,830
31118,wpkziev,fuchsia,1995,15041,664
31119,mzvsimx,azure,2007,29225,604
31120,gqfmoci,gold,2013,84461,726
31121,ijoorqt,salmon,1993,91070,461
31122,uxwtqlb,magenta,2001,32006,270
31123,zcurbwv,maroon,2007,7460,676
31124,dwebwxm,gold,2012,19329,414
31125,swypzoz,lavender,1990,41519,513
31126,mfxqnrg,indigo,2008,80982,264
31127,untlzez,"mint green",1996,92238,225
31128,cunoelq,teal,2007,74954,879
